Area,Bedrooms,Bathrooms,Age,Location_City Center,Location_Rural,Location_Suburb,Property_Type_Apartment,Property_Type_House,Property_Type_Villa,Price
3240.0,4.0,3.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,29625000
899.0,1.0,2.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,9390000
1884.0,4.0,3.0,22.0,1.0,0.0,0.0,0.0,1.0,0.0,27640000
1128.0,5.0,2.0,33.0,0.0,0.0,1.0,1.0,0.0,0.0,14985000
1699.0,4.0,1.0,43.0,0.0,0.0,1.0,1.0,0.0,0.0,16267500
3347.0,5.0,1.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,31702500
3823.0,4.0,3.0,36.0,1.0,0.0,0.0,0.0,0.0,1.0,45630000
3594.0,5.0,3.0,14.0,0.0,0.0,1.0,0.0,0.0,1.0,35655000
2517.0,3.0,2.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,29870000
3711.0,3.0,3.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,31432500
1454.0,3.0,1.0,27.0,1.0,0.0,0.0,0.0,0.0,1.0,18840000
3193.0,1.0,2.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,16865000
3788.0,5.0,2.0,34.0,1.0,0.0,0.0,0.0,0.0,1.0,46480000
879.0,1.0,3.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,12690000
909.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,11617500
2924.0,5.0,1.0,31.0,0.0,0.0,1.0,1.0,0.0,0.0,27855000
3309.0,4.0,1.0,37.0,0.0,0.0,1.0,0.0,0.0,1.0,28792500
4510.0,2.0,2.0,47.0,0.0,0.0,1.0,0.0,0.0,1.0,34800000
1952.0,2.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,18690000
4875.0,1.0,3.0,49.0,0.0,1.0,0.0,0.0,1.0,0.0,24425000
3204.0,1.0,1.0,49.0,1.0,0.0,0.0,1.0,0.0,0.0,30140000
2651.0,3.0,1.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,16005000
628.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,11010000
3088.0,1.0,1.0,31.0,1.0,0.0,0.0,0.0,1.0,0.0,30780000
2081.0,5.0,3.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,22807500
4746.0,5.0,1.0,22.0,1.0,0.0,0.0,1.0,0.0,0.0,56260000
4029.0,4.0,2.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,34567500
1726.0,4.0,2.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,25160000
4722.0,1.0,1.0,29.0,1.0,0.0,0.0,0.0,0.0,1.0,47320000
1519.0,1.0,2.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,13567500
3117.0,1.0,2.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,16635000
613.0,4.0,3.0,20.0,0.0,1.0,0.0,0.0,1.0,0.0,7565000
2683.0,5.0,2.0,18.0,1.0,0.0,0.0,0.0,1.0,0.0,37030000
4097.0,3.0,3.0,15.0,0.0,1.0,0.0,0.0,1.0,0.0,24235000
1680.0,5.0,3.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,21150000
1646.0,4.0,3.0,20.0,0.0,1.0,0.0,0.0,0.0,1.0,12730000
3539.0,3.0,1.0,45.0,1.0,0.0,0.0,0.0,1.0,0.0,37890000
2042.0,4.0,3.0,32.0,0.0,1.0,0.0,1.0,0.0,0.0,14110000
2528.0,2.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,14640000
4632.0,1.0,2.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,37215000
1206.0,2.0,3.0,29.0,1.0,0.0,0.0,0.0,1.0,0.0,16160000
1879.0,5.0,1.0,28.0,0.0,0.0,1.0,0.0,1.0,0.0,20242500
1055.0,1.0,2.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,8287500
1350.0,1.0,1.0,42.0,0.0,1.0,0.0,0.0,0.0,1.0,6150000
2371.0,5.0,2.0,43.0,0.0,1.0,0.0,1.0,0.0,0.0,15705000
2661.0,3.0,2.0,17.0,0.0,0.0,1.0,0.0,1.0,0.0,24682500
4496.0,4.0,3.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,52560000
4074.0,1.0,3.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,42540000
2221.0,3.0,3.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,22657500
3619.0,5.0,1.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,34042500
3594.0,2.0,2.0,25.0,0.0,1.0,0.0,1.0,0.0,0.0,19720000
589.0,2.0,1.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,3695000
2479.0,3.0,3.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,22942500
3255.0,5.0,2.0,21.0,0.0,0.0,1.0,1.0,0.0,0.0,31837500
4285.0,2.0,3.0,34.0,1.0,0.0,0.0,0.0,1.0,0.0,46450000
4829.0,1.0,1.0,48.0,0.0,0.0,1.0,1.0,0.0,0.0,34867500
2445.0,3.0,3.0,24.0,0.0,1.0,0.0,0.0,1.0,0.0,15525000
2394.0,2.0,2.0,40.0,1.0,0.0,0.0,0.0,1.0,0.0,25940000
4522.0,4.0,1.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,53020000
4919.0,4.0,2.0,45.0,1.0,0.0,0.0,0.0,0.0,1.0,54690000
4999.0,5.0,1.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,42367500
4433.0,1.0,3.0,27.0,0.0,1.0,0.0,0.0,1.0,0.0,23315000
3328.0,4.0,1.0,18.0,1.0,0.0,0.0,1.0,0.0,0.0,40480000
1203.0,4.0,3.0,49.0,0.0,0.0,1.0,0.0,1.0,0.0,13597500
4574.0,2.0,1.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,35655000
2925.0,3.0,1.0,28.0,0.0,1.0,0.0,0.0,0.0,1.0,16725000
3083.0,4.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,20165000
623.0,1.0,2.0,47.0,1.0,0.0,0.0,0.0,1.0,0.0,5530000
1370.0,4.0,2.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,22900000
4027.0,5.0,3.0,47.0,0.0,0.0,1.0,0.0,0.0,1.0,36427500
4690.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,43350000
4079.0,1.0,2.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,20595000
1317.0,2.0,3.0,36.0,1.0,0.0,0.0,0.0,1.0,0.0,16570000
1619.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,24490000
4917.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,53970000
964.0,5.0,1.0,31.0,0.0,1.0,0.0,1.0,0.0,0.0,8770000
2378.0,4.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,15840000
3712.0,4.0,3.0,36.0,0.0,1.0,0.0,0.0,1.0,0.0,22260000
3936.0,5.0,2.0,13.0,0.0,1.0,0.0,0.0,1.0,0.0,25030000
2371.0,5.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,17755000
3592.0,2.0,3.0,30.0,0.0,0.0,1.0,0.0,1.0,0.0,29940000
2324.0,2.0,3.0,34.0,0.0,0.0,1.0,0.0,0.0,1.0,20130000
2576.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,35560000
1101.0,1.0,3.0,49.0,1.0,0.0,0.0,0.0,1.0,0.0,11110000
3356.0,5.0,2.0,17.0,0.0,0.0,1.0,1.0,0.0,0.0,32895000
1843.0,3.0,3.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,18697500
3984.0,5.0,1.0,19.0,0.0,1.0,0.0,0.0,1.0,0.0,24470000
3444.0,1.0,3.0,42.0,0.0,0.0,1.0,0.0,1.0,0.0,26430000
4290.0,4.0,3.0,27.0,0.0,1.0,0.0,1.0,0.0,0.0,25600000
746.0,4.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,11970000
3479.0,1.0,1.0,19.0,0.0,1.0,0.0,0.0,0.0,1.0,17945000
1103.0,5.0,1.0,46.0,1.0,0.0,0.0,0.0,1.0,0.0,17430000
3866.0,1.0,2.0,16.0,1.0,0.0,0.0,1.0,0.0,0.0,41060000
833.0,5.0,2.0,39.0,0.0,0.0,1.0,0.0,0.0,1.0,12322500
2176.0,5.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,23070000
1113.0,1.0,2.0,41.0,0.0,0.0,1.0,0.0,1.0,0.0,8272500
800.0,4.0,2.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,10650000
2836.0,4.0,1.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,34760000
2667.0,4.0,1.0,37.0,0.0,1.0,0.0,1.0,0.0,0.0,15985000
2780.0,1.0,1.0,32.0,1.0,0.0,0.0,1.0,0.0,0.0,27600000
3559.0,4.0,3.0,24.0,0.0,0.0,1.0,1.0,0.0,0.0,33142500
747.0,2.0,3.0,37.0,0.0,1.0,0.0,0.0,1.0,0.0,5385000
2503.0,3.0,2.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0,28830000
3404.0,5.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,1.0,43040000
4802.0,5.0,1.0,9.0,0.0,1.0,0.0,0.0,1.0,0.0,29060000
1075.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,7325000
3947.0,4.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,37627500
2307.0,4.0,2.0,36.0,0.0,1.0,0.0,0.0,0.0,1.0,14735000
4824.0,5.0,2.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,43455000
2353.0,2.0,3.0,38.0,0.0,0.0,1.0,1.0,0.0,0.0,20047500
1800.0,3.0,2.0,18.0,0.0,1.0,0.0,0.0,0.0,1.0,12100000
4208.0,4.0,2.0,45.0,0.0,1.0,0.0,0.0,1.0,0.0,23790000
4498.0,1.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,24040000
2795.0,1.0,1.0,39.0,0.0,1.0,0.0,1.0,0.0,0.0,13525000
1743.0,1.0,2.0,44.0,1.0,0.0,0.0,0.0,1.0,0.0,17030000
615.0,4.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,12412500
4399.0,1.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,35392500
1181.0,5.0,3.0,45.0,0.0,1.0,0.0,0.0,0.0,1.0,10155000
1451.0,5.0,3.0,31.0,1.0,0.0,0.0,0.0,0.0,1.0,24410000
2937.0,5.0,2.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,20235000
4037.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,44270000
795.0,5.0,1.0,28.0,1.0,0.0,0.0,0.0,0.0,1.0,16150000
1990.0,1.0,3.0,42.0,1.0,0.0,0.0,0.0,1.0,0.0,20700000
2916.0,3.0,2.0,31.0,0.0,0.0,1.0,0.0,1.0,0.0,25545000
1888.0,4.0,1.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,27280000
4488.0,5.0,2.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,55880000
3163.0,3.0,2.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,28672500
4659.0,5.0,2.0,37.0,0.0,1.0,0.0,1.0,0.0,0.0,27445000
1462.0,4.0,3.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,11510000
4840.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,40200000
3091.0,2.0,2.0,45.0,0.0,1.0,0.0,0.0,1.0,0.0,16205000
810.0,1.0,2.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,8625000
4572.0,4.0,2.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,26660000
4642.0,4.0,2.0,26.0,1.0,0.0,0.0,0.0,0.0,1.0,53820000
4560.0,5.0,3.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0,42675000
2771.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,17155000
1261.0,3.0,2.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,9405000
4191.0,3.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,48410000
2078.0,3.0,3.0,47.0,0.0,1.0,0.0,0.0,0.0,1.0,12540000
4317.0,1.0,3.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,46170000
4812.0,5.0,2.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,44490000
2537.0,4.0,3.0,44.0,0.0,0.0,1.0,0.0,0.0,1.0,23977500
1569.0,5.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,1.0,24590000
3611.0,3.0,3.0,27.0,0.0,0.0,1.0,1.0,0.0,0.0,31807500
1962.0,2.0,3.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,12210000
4814.0,1.0,2.0,13.0,1.0,0.0,0.0,0.0,0.0,1.0,50840000
3008.0,4.0,3.0,42.0,1.0,0.0,0.0,0.0,0.0,1.0,36880000
3611.0,4.0,2.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,21855000
952.0,1.0,3.0,38.0,1.0,0.0,0.0,0.0,1.0,0.0,10720000
1591.0,4.0,1.0,35.0,0.0,0.0,1.0,0.0,1.0,0.0,16057500
2226.0,4.0,2.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,22470000
2070.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,11250000
851.0,4.0,2.0,46.0,0.0,0.0,1.0,0.0,1.0,0.0,10432500
3635.0,1.0,3.0,35.0,0.0,1.0,0.0,0.0,0.0,1.0,18925000
4316.0,4.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,52860000
2169.0,2.0,3.0,41.0,0.0,1.0,0.0,0.0,1.0,0.0,12295000
520.0,4.0,1.0,29.0,0.0,1.0,0.0,1.0,0.0,0.0,5650000
3114.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,35040000
1244.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,8620000
1815.0,3.0,1.0,20.0,0.0,0.0,1.0,0.0,1.0,0.0,17362500
1678.0,4.0,3.0,24.0,0.0,0.0,1.0,0.0,1.0,0.0,19035000
2514.0,3.0,3.0,21.0,0.0,0.0,1.0,0.0,1.0,0.0,24030000
2157.0,2.0,3.0,42.0,0.0,1.0,0.0,0.0,1.0,0.0,12185000
3275.0,1.0,2.0,47.0,0.0,0.0,1.0,0.0,0.0,1.0,24037500
3200.0,2.0,2.0,32.0,0.0,0.0,1.0,0.0,1.0,0.0,26100000
1081.0,4.0,2.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,10005000
3622.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,32340000
2362.0,5.0,2.0,47.0,0.0,1.0,0.0,0.0,1.0,0.0,15460000
3781.0,3.0,3.0,8.0,0.0,1.0,0.0,1.0,0.0,0.0,23005000
1832.0,4.0,3.0,35.0,1.0,0.0,0.0,0.0,0.0,1.0,25820000
4243.0,3.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,24865000
1804.0,1.0,1.0,45.0,0.0,0.0,1.0,0.0,0.0,1.0,12405000
3864.0,5.0,2.0,29.0,1.0,0.0,0.0,1.0,0.0,0.0,47740000
3274.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,36940000
3770.0,3.0,1.0,25.0,0.0,1.0,0.0,0.0,0.0,1.0,21100000
4256.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,34020000
749.0,5.0,1.0,33.0,0.0,0.0,1.0,0.0,1.0,0.0,11392500
1721.0,3.0,1.0,26.0,0.0,1.0,0.0,0.0,1.0,0.0,10805000
1223.0,3.0,3.0,17.0,1.0,0.0,0.0,0.0,1.0,0.0,19530000
1295.0,5.0,2.0,32.0,0.0,1.0,0.0,0.0,1.0,0.0,10875000
1104.0,1.0,3.0,46.0,0.0,1.0,0.0,1.0,0.0,0.0,5720000
2306.0,3.0,1.0,25.0,0.0,0.0,1.0,0.0,0.0,1.0,20670000
3469.0,4.0,2.0,27.0,1.0,0.0,0.0,1.0,0.0,0.0,41990000
1053.0,2.0,2.0,31.0,0.0,1.0,0.0,0.0,1.0,0.0,6715000
1025.0,4.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,9925000
4436.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,37020000
2900.0,3.0,2.0,48.0,0.0,1.0,0.0,0.0,1.0,0.0,16100000
1963.0,3.0,2.0,34.0,0.0,1.0,0.0,1.0,0.0,0.0,12115000
1669.0,3.0,3.0,26.0,0.0,0.0,1.0,0.0,0.0,1.0,17317500
2013.0,1.0,2.0,19.0,0.0,0.0,1.0,1.0,0.0,0.0,16672500
2684.0,1.0,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,14620000
3574.0,2.0,3.0,22.0,0.0,0.0,1.0,1.0,0.0,0.0,30405000
937.0,5.0,3.0,20.0,1.0,0.0,0.0,0.0,1.0,0.0,20370000
1325.0,3.0,3.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,21550000
1678.0,4.0,2.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,19710000
1102.0,5.0,2.0,36.0,1.0,0.0,0.0,1.0,0.0,0.0,19420000
